"","Film","director","Actor","Award_Status","Ceremony_Year","Session","Category","Role","Status"
"1","1917","Sam Mendes","George MacKay",NA,NA,NA,NA,NA,"Non-Nominee"
"2","1917","Sam Mendes","Dean-Charles Chapman",NA,NA,NA,NA,NA,"Non-Nominee"
"3","1917","Sam Mendes","Mark Strong",NA,NA,NA,NA,NA,"Non-Nominee"
"4","1917","Sam Mendes","Andrew Scott",NA,NA,NA,NA,NA,"Non-Nominee"
"5","1917","Sam Mendes","Richard Madden",NA,NA,NA,NA,NA,"Non-Nominee"
"6","1917","Sam Mendes","Claire Duburcq",NA,NA,NA,NA,NA,"Non-Nominee"
"7","1917","Sam Mendes","Colin Firth",NA,NA,NA,NA,NA,"Non-Nominee"
"8","1917","Sam Mendes","Benedict Cumberbatch",NA,NA,NA,NA,NA,"Non-Nominee"
"9","1917","Sam Mendes","Daniel Mays",NA,NA,NA,NA,NA,"Non-Nominee"
"10","1917","Sam Mendes","Adrian Scarborough",NA,NA,NA,NA,NA,"Non-Nominee"
"11","1917","Sam Mendes","Chris Walley",NA,NA,NA,NA,NA,"Non-Nominee"
"12","1917","Sam Mendes","Nabhaan Rizwan",NA,NA,NA,NA,NA,"Non-Nominee"
"13","1917","Sam Mendes","Jamie Parker",NA,NA,NA,NA,NA,"Non-Nominee"
"14","1917","Sam Mendes","Tommy French",NA,NA,NA,NA,NA,"Non-Nominee"
"15","1917","Sam Mendes","Paul Tinto",NA,NA,NA,NA,NA,"Non-Nominee"
"16","A Complete Unknown","James Mangold","Timothée Chalamet","Nominee","2024","97","ACTOR IN A LEADING ROLE","Bob Dylan","Nominee"
"17","A Complete Unknown","James Mangold","Edward Norton","Nominee","2024","97","ACTOR IN A SUPPORTING ROLE","Pete Seeger","Nominee"
"18","A Complete Unknown","James Mangold","Elle Fanning",NA,NA,NA,NA,NA,"Non-Nominee"
"19","A Complete Unknown","James Mangold","Monica Barbaro","Nominee","2024","97","ACTRESS IN A SUPPORTING ROLE","Joan Baez","Nominee"
"20","A Complete Unknown","James Mangold","Scoot McNairy",NA,NA,NA,NA,NA,"Non-Nominee"
"21","A Complete Unknown","James Mangold","Dan Fogler",NA,NA,NA,NA,NA,"Non-Nominee"
"22","A Complete Unknown","James Mangold","Boyd Holbrook",NA,NA,NA,NA,NA,"Non-Nominee"
"23","A Complete Unknown","James Mangold","Will Harrison",NA,NA,NA,NA,NA,"Non-Nominee"
"24","A Complete Unknown","James Mangold","Joe Tippett",NA,NA,NA,NA,NA,"Non-Nominee"
"25","A Complete Unknown","James Mangold","Eriko Hatsune",NA,NA,NA,NA,NA,"Non-Nominee"
"26","A Complete Unknown","James Mangold","Peter Gray Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"27","A Complete Unknown","James Mangold","Peter Gerety",NA,NA,NA,NA,NA,"Non-Nominee"
"28","A Complete Unknown","James Mangold","Lenny Grossman",NA,NA,NA,NA,NA,"Non-Nominee"
"29","A Complete Unknown","James Mangold","David Wenzel",NA,NA,NA,NA,NA,"Non-Nominee"
"30","A Complete Unknown","James Mangold","Riley Hashimoto",NA,NA,NA,NA,NA,"Non-Nominee"
"31","All the Money in the World","Ridley Scott","Michelle Williams",NA,NA,NA,NA,NA,"Non-Nominee"
"32","All the Money in the World","Ridley Scott","Mark Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"33","All the Money in the World","Ridley Scott","Christopher Plummer","Nominee","2017","90","ACTOR IN A SUPPORTING ROLE","J. Paul Getty","Nominee"
"34","All the Money in the World","Ridley Scott","Charlie Plummer",NA,NA,NA,NA,NA,"Non-Nominee"
"35","All the Money in the World","Ridley Scott","Romain Duris",NA,NA,NA,NA,NA,"Non-Nominee"
"36","All the Money in the World","Ridley Scott","Timothy Hutton",NA,NA,NA,NA,NA,"Non-Nominee"
"37","All the Money in the World","Ridley Scott","Charlie Shotwell",NA,NA,NA,NA,NA,"Non-Nominee"
"38","All the Money in the World","Ridley Scott","Andrew Buchan",NA,NA,NA,NA,NA,"Non-Nominee"
"39","All the Money in the World","Ridley Scott","Marco Leonardi",NA,NA,NA,NA,NA,"Non-Nominee"
"40","All the Money in the World","Ridley Scott","Giuseppe Bonifati",NA,NA,NA,NA,NA,"Non-Nominee"
"41","All the Money in the World","Ridley Scott","Nicolas Vaporidis",NA,NA,NA,NA,NA,"Non-Nominee"
"42","All the Money in the World","Ridley Scott","Andrea Piedimonte Bodini",NA,NA,NA,NA,NA,"Non-Nominee"
"43","All the Money in the World","Ridley Scott","Guglielmo Favilla",NA,NA,NA,NA,NA,"Non-Nominee"
"44","All the Money in the World","Ridley Scott","Adele Tirante",NA,NA,NA,NA,NA,"Non-Nominee"
"45","All the Money in the World","Ridley Scott","Stacy Martin",NA,NA,NA,NA,NA,"Non-Nominee"
"46","American Hustle","David O. Russell","Christian Bale","Nominee","2013","86","ACTOR IN A LEADING ROLE","Irving Rosenfeld","Nominee"
"47","American Hustle","David O. Russell","Bradley Cooper","Nominee","2013","86","ACTOR IN A SUPPORTING ROLE","Richie DiMaso","Nominee"
"48","American Hustle","David O. Russell","Amy Adams",NA,NA,NA,NA,NA,"Non-Nominee"
"49","American Hustle","David O. Russell","Jeremy Renner",NA,NA,NA,NA,NA,"Non-Nominee"
"50","American Hustle","David O. Russell","Jennifer Lawrence","Nominee","2013","86","ACTRESS IN A SUPPORTING ROLE","Rosalyn Rosenfeld","Nominee"
"51","American Hustle","David O. Russell","Louis C.K.",NA,NA,NA,NA,NA,"Non-Nominee"
"52","American Hustle","David O. Russell","Jack Huston",NA,NA,NA,NA,NA,"Non-Nominee"
"53","American Hustle","David O. Russell","Michael Peña",NA,NA,NA,NA,NA,"Non-Nominee"
"54","American Hustle","David O. Russell","Shea Whigham",NA,NA,NA,NA,NA,"Non-Nominee"
"55","American Hustle","David O. Russell","Alessandro Nivola",NA,NA,NA,NA,NA,"Non-Nominee"
"56","American Hustle","David O. Russell","Elisabeth Röhm",NA,NA,NA,NA,NA,"Non-Nominee"
"57","American Hustle","David O. Russell","Paul Herman",NA,NA,NA,NA,NA,"Non-Nominee"
"58","American Hustle","David O. Russell","Saïd Taghmaoui",NA,NA,NA,NA,NA,"Non-Nominee"
"59","American Hustle","David O. Russell","Matthew Russell",NA,NA,NA,NA,NA,"Non-Nominee"
"60","American Hustle","David O. Russell","Thomas Matthews",NA,NA,NA,NA,NA,"Non-Nominee"
"61","American Sniper","Clint Eastwood","Bradley Cooper","Nominee","2014","87","ACTOR IN A LEADING ROLE","Chris Kyle","Nominee"
"62","American Sniper","Clint Eastwood","Sienna Miller",NA,NA,NA,NA,NA,"Non-Nominee"
"63","American Sniper","Clint Eastwood","Kyle Gallner",NA,NA,NA,NA,NA,"Non-Nominee"
"64","American Sniper","Clint Eastwood","Cole Konis",NA,NA,NA,NA,NA,"Non-Nominee"
"65","American Sniper","Clint Eastwood","Ben Reed",NA,NA,NA,NA,NA,"Non-Nominee"
"66","American Sniper","Clint Eastwood","Elise Robertson",NA,NA,NA,NA,NA,"Non-Nominee"
"67","American Sniper","Clint Eastwood","Keir O'Donnell",NA,NA,NA,NA,NA,"Non-Nominee"
"68","American Sniper","Clint Eastwood","Luke Sunshine",NA,NA,NA,NA,NA,"Non-Nominee"
"69","American Sniper","Clint Eastwood","Kevin Lacz",NA,NA,NA,NA,NA,"Non-Nominee"
"70","American Sniper","Clint Eastwood","Troy Vincent",NA,NA,NA,NA,NA,"Non-Nominee"
"71","American Sniper","Clint Eastwood","Brandon Salgado Telis",NA,NA,NA,NA,NA,"Non-Nominee"
"72","American Sniper","Clint Eastwood","Chance Kelly",NA,NA,NA,NA,NA,"Non-Nominee"
"73","American Sniper","Clint Eastwood","Marnette Patterson",NA,NA,NA,NA,NA,"Non-Nominee"
"74","American Sniper","Clint Eastwood","Billy Miller",NA,NA,NA,NA,NA,"Non-Nominee"
"75","American Sniper","Clint Eastwood","Leonard Roberts",NA,NA,NA,NA,NA,"Non-Nominee"
"76","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Michael Keaton","Nominee","2014","87","ACTOR IN A LEADING ROLE","Riggan","Nominee"
"77","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Emma Stone","Nominee","2014","87","ACTRESS IN A SUPPORTING ROLE","Sam","Nominee"
"78","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Zach Galifianakis",NA,NA,NA,NA,NA,"Non-Nominee"
"79","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Edward Norton","Nominee","2014","87","ACTOR IN A SUPPORTING ROLE","Mike","Nominee"
"80","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Andrea Riseborough",NA,NA,NA,NA,NA,"Non-Nominee"
"81","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Naomi Watts",NA,NA,NA,NA,NA,"Non-Nominee"
"82","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Amy Ryan",NA,NA,NA,NA,NA,"Non-Nominee"
"83","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Lindsay Duncan",NA,NA,NA,NA,NA,"Non-Nominee"
"84","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Merritt Wever",NA,NA,NA,NA,NA,"Non-Nominee"
"85","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Jeremy Shamos",NA,NA,NA,NA,NA,"Non-Nominee"
"86","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Damian Young",NA,NA,NA,NA,NA,"Non-Nominee"
"87","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Kenny Chin",NA,NA,NA,NA,NA,"Non-Nominee"
"88","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Jamahl Garrison-Lowe",NA,NA,NA,NA,NA,"Non-Nominee"
"89","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Katherine O'Sullivan",NA,NA,NA,NA,NA,"Non-Nominee"
"90","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro González Iñárritu","Keenan Shimizu",NA,NA,NA,NA,NA,"Non-Nominee"
"91","Biutiful","Alejandro González Iñárritu","Javier Bardem","Nominee","2010","83","ACTOR IN A LEADING ROLE","Uxbal","Nominee"
"92","Biutiful","Alejandro González Iñárritu","Maricel Álvarez",NA,NA,NA,NA,NA,"Non-Nominee"
"93","Biutiful","Alejandro González Iñárritu","Hanaa Bouchaib",NA,NA,NA,NA,NA,"Non-Nominee"
"94","Biutiful","Alejandro González Iñárritu","Guillermo Estrella",NA,NA,NA,NA,NA,"Non-Nominee"
"95","Biutiful","Alejandro González Iñárritu","Eduard Fernández",NA,NA,NA,NA,NA,"Non-Nominee"
"96","Biutiful","Alejandro González Iñárritu","Cheikh Ndiaye",NA,NA,NA,NA,NA,"Non-Nominee"
"97","Biutiful","Alejandro González Iñárritu","Diaryatou Daff",NA,NA,NA,NA,NA,"Non-Nominee"
"98","Biutiful","Alejandro González Iñárritu","Cheng Taishen",NA,NA,NA,NA,NA,"Non-Nominee"
"99","Biutiful","Alejandro González Iñárritu","Luo Jin",NA,NA,NA,NA,NA,"Non-Nominee"
"100","Biutiful","Alejandro González Iñárritu","George Chibuikwem Chukwuma",NA,NA,NA,NA,NA,"Non-Nominee"
"101","Biutiful","Alejandro González Iñárritu","Lang Sofia Lin",NA,NA,NA,NA,NA,"Non-Nominee"
"102","Biutiful","Alejandro González Iñárritu","Yodian Yang",NA,NA,NA,NA,NA,"Non-Nominee"
"103","Biutiful","Alejandro González Iñárritu","Tuo Lin",NA,NA,NA,NA,NA,"Non-Nominee"
"104","Biutiful","Alejandro González Iñárritu","Xueheng Chen",NA,NA,NA,NA,NA,"Non-Nominee"
"105","Biutiful","Alejandro González Iñárritu","Xiaoyan Zhang",NA,NA,NA,NA,NA,"Non-Nominee"
"106","Black Swan","Darren Aronofsky","Natalie Portman",NA,NA,NA,NA,NA,"Non-Nominee"
"107","Black Swan","Darren Aronofsky","Mila Kunis",NA,NA,NA,NA,NA,"Non-Nominee"
"108","Black Swan","Darren Aronofsky","Vincent Cassel",NA,NA,NA,NA,NA,"Non-Nominee"
"109","Black Swan","Darren Aronofsky","Barbara Hershey",NA,NA,NA,NA,NA,"Non-Nominee"
"110","Black Swan","Darren Aronofsky","Winona Ryder",NA,NA,NA,NA,NA,"Non-Nominee"
"111","Black Swan","Darren Aronofsky","Benjamin Millepied",NA,NA,NA,NA,NA,"Non-Nominee"
"112","Black Swan","Darren Aronofsky","Ksenia Solo",NA,NA,NA,NA,NA,"Non-Nominee"
"113","Black Swan","Darren Aronofsky","Kristina Anapau",NA,NA,NA,NA,NA,"Non-Nominee"
"114","Black Swan","Darren Aronofsky","Janet Montgomery",NA,NA,NA,NA,NA,"Non-Nominee"
"115","Black Swan","Darren Aronofsky","Sebastian Stan",NA,NA,NA,NA,NA,"Non-Nominee"
"116","Black Swan","Darren Aronofsky","Toby Hemingway",NA,NA,NA,NA,NA,"Non-Nominee"
"117","Black Swan","Darren Aronofsky","Sergio Torrado",NA,NA,NA,NA,NA,"Non-Nominee"
"118","Black Swan","Darren Aronofsky","Mark Margolis",NA,NA,NA,NA,NA,"Non-Nominee"
"119","Black Swan","Darren Aronofsky","Tina Sloan",NA,NA,NA,NA,NA,"Non-Nominee"
"120","Black Swan","Darren Aronofsky","Abraham Aronofsky",NA,NA,NA,NA,NA,"Non-Nominee"
"121","Blue Jasmine","Woody Allen","Cate Blanchett",NA,NA,NA,NA,NA,"Non-Nominee"
"122","Blue Jasmine","Woody Allen","Sally Hawkins","Nominee","2013","86","ACTRESS IN A SUPPORTING ROLE","Ginger","Nominee"
"123","Blue Jasmine","Woody Allen","Alec Baldwin",NA,NA,NA,NA,NA,"Non-Nominee"
"124","Blue Jasmine","Woody Allen","Peter Sarsgaard",NA,NA,NA,NA,NA,"Non-Nominee"
"125","Blue Jasmine","Woody Allen","Bobby Cannavale",NA,NA,NA,NA,NA,"Non-Nominee"
"126","Blue Jasmine","Woody Allen","Andrew Dice Clay",NA,NA,NA,NA,NA,"Non-Nominee"
"127","Blue Jasmine","Woody Allen","Louis C.K.",NA,NA,NA,NA,NA,"Non-Nominee"
"128","Blue Jasmine","Woody Allen","Michael Stuhlbarg",NA,NA,NA,NA,NA,"Non-Nominee"
"129","Blue Jasmine","Woody Allen","Alden Ehrenreich",NA,NA,NA,NA,NA,"Non-Nominee"
"130","Blue Jasmine","Woody Allen","Joy Carlin",NA,NA,NA,NA,NA,"Non-Nominee"
"131","Blue Jasmine","Woody Allen","Richard Conti",NA,NA,NA,NA,NA,"Non-Nominee"
"132","Blue Jasmine","Woody Allen","Glen Caspillo",NA,NA,NA,NA,NA,"Non-Nominee"
"133","Blue Jasmine","Woody Allen","Charlie Tahan",NA,NA,NA,NA,NA,"Non-Nominee"
"134","Blue Jasmine","Woody Allen","Annie McNamara",NA,NA,NA,NA,NA,"Non-Nominee"
"135","Blue Jasmine","Woody Allen","Daniel Jenks",NA,NA,NA,NA,NA,"Non-Nominee"
"136","Bridge of Spies","Steven Spielberg","Tom Hanks",NA,NA,NA,NA,NA,"Non-Nominee"
"137","Bridge of Spies","Steven Spielberg","Mark Rylance","Winner","2015","88","ACTOR IN A SUPPORTING ROLE","Rudolf Abel","Winner"
"138","Bridge of Spies","Steven Spielberg","Amy Ryan",NA,NA,NA,NA,NA,"Non-Nominee"
"139","Bridge of Spies","Steven Spielberg","Alan Alda",NA,NA,NA,NA,NA,"Non-Nominee"
"140","Bridge of Spies","Steven Spielberg","Sebastian Koch",NA,NA,NA,NA,NA,"Non-Nominee"
"141","Bridge of Spies","Steven Spielberg","Austin Stowell",NA,NA,NA,NA,NA,"Non-Nominee"
"142","Bridge of Spies","Steven Spielberg","Billy Magnussen",NA,NA,NA,NA,NA,"Non-Nominee"
"143","Bridge of Spies","Steven Spielberg","Michael Simon Hall",NA,NA,NA,NA,NA,"Non-Nominee"
"144","Bridge of Spies","Steven Spielberg","Edward James Hyland",NA,NA,NA,NA,NA,"Non-Nominee"
"145","Bridge of Spies","Steven Spielberg","Stephen Kunken",NA,NA,NA,NA,NA,"Non-Nominee"
"146","Bridge of Spies","Steven Spielberg","Mike Houston",NA,NA,NA,NA,NA,"Non-Nominee"
"147","Bridge of Spies","Steven Spielberg","James Lorinz",NA,NA,NA,NA,NA,"Non-Nominee"
"148","Bridge of Spies","Steven Spielberg","Michael Power",NA,NA,NA,NA,NA,"Non-Nominee"
"149","Bridge of Spies","Steven Spielberg","Joe Starr",NA,NA,NA,NA,NA,"Non-Nominee"
"150","Bridge of Spies","Steven Spielberg","Merab Ninidze",NA,NA,NA,NA,NA,"Non-Nominee"
"151","Django Unchained","Quentin Tarantino","Jamie Foxx",NA,NA,NA,NA,NA,"Non-Nominee"
"152","Django Unchained","Quentin Tarantino","Christoph Waltz","Winner","2012","85","ACTOR IN A SUPPORTING ROLE","Dr. King Schultz","Winner"
"153","Django Unchained","Quentin Tarantino","Leonardo DiCaprio",NA,NA,NA,NA,NA,"Non-Nominee"
"154","Django Unchained","Quentin Tarantino","Kerry Washington",NA,NA,NA,NA,NA,"Non-Nominee"
"155","Django Unchained","Quentin Tarantino","Samuel L. Jackson",NA,NA,NA,NA,NA,"Non-Nominee"
"156","Django Unchained","Quentin Tarantino","Walton Goggins",NA,NA,NA,NA,NA,"Non-Nominee"
"157","Django Unchained","Quentin Tarantino","Dennis Christopher",NA,NA,NA,NA,NA,"Non-Nominee"
"158","Django Unchained","Quentin Tarantino","James Remar",NA,NA,NA,NA,NA,"Non-Nominee"
"159","Django Unchained","Quentin Tarantino","David Steen",NA,NA,NA,NA,NA,"Non-Nominee"
"160","Django Unchained","Quentin Tarantino","Dana Gourrier",NA,NA,NA,NA,NA,"Non-Nominee"
"161","Django Unchained","Quentin Tarantino","Nichole Galicia",NA,NA,NA,NA,NA,"Non-Nominee"
"162","Django Unchained","Quentin Tarantino","Laura Cayouette",NA,NA,NA,NA,NA,"Non-Nominee"
"163","Django Unchained","Quentin Tarantino","Ato Essandoh",NA,NA,NA,NA,NA,"Non-Nominee"
"164","Django Unchained","Quentin Tarantino","Sammi Rotibi",NA,NA,NA,NA,NA,"Non-Nominee"
"165","Django Unchained","Quentin Tarantino","Clay Donahue Fontenot",NA,NA,NA,NA,NA,"Non-Nominee"
"166","Dunkirk","Christopher Nolan","Fionn Whitehead",NA,NA,NA,NA,NA,"Non-Nominee"
"167","Dunkirk","Christopher Nolan","Tom Hardy",NA,NA,NA,NA,NA,"Non-Nominee"
"168","Dunkirk","Christopher Nolan","Mark Rylance",NA,NA,NA,NA,NA,"Non-Nominee"
"169","Dunkirk","Christopher Nolan","Kenneth Branagh",NA,NA,NA,NA,NA,"Non-Nominee"
"170","Dunkirk","Christopher Nolan","Cillian Murphy",NA,NA,NA,NA,NA,"Non-Nominee"
"171","Dunkirk","Christopher Nolan","Barry Keoghan",NA,NA,NA,NA,NA,"Non-Nominee"
"172","Dunkirk","Christopher Nolan","Harry Styles",NA,NA,NA,NA,NA,"Non-Nominee"
"173","Dunkirk","Christopher Nolan","Aneurin Barnard",NA,NA,NA,NA,NA,"Non-Nominee"
"174","Dunkirk","Christopher Nolan","Damien Bonnard",NA,NA,NA,NA,NA,"Non-Nominee"
"175","Dunkirk","Christopher Nolan","Lee Armstrong",NA,NA,NA,NA,NA,"Non-Nominee"
"176","Dunkirk","Christopher Nolan","James Bloor",NA,NA,NA,NA,NA,"Non-Nominee"
"177","Dunkirk","Christopher Nolan","Tom Glynn-Carney",NA,NA,NA,NA,NA,"Non-Nominee"
"178","Dunkirk","Christopher Nolan","Jack Lowden",NA,NA,NA,NA,NA,"Non-Nominee"
"179","Dunkirk","Christopher Nolan","Luke Thompson",NA,NA,NA,NA,NA,"Non-Nominee"
"180","Dunkirk","Christopher Nolan","Michel Biel",NA,NA,NA,NA,NA,"Non-Nominee"
"181","Extremely Loud & Incredibly Close","Stephen Daldry","Tom Hanks",NA,NA,NA,NA,NA,"Non-Nominee"
"182","Extremely Loud & Incredibly Close","Stephen Daldry","Sandra Bullock",NA,NA,NA,NA,NA,"Non-Nominee"
"183","Extremely Loud & Incredibly Close","Stephen Daldry","Thomas Horn",NA,NA,NA,NA,NA,"Non-Nominee"
"184","Extremely Loud & Incredibly Close","Stephen Daldry","Viola Davis",NA,NA,NA,NA,NA,"Non-Nominee"
"185","Extremely Loud & Incredibly Close","Stephen Daldry","John Goodman",NA,NA,NA,NA,NA,"Non-Nominee"
"186","Extremely Loud & Incredibly Close","Stephen Daldry","Jeffrey Wright",NA,NA,NA,NA,NA,"Non-Nominee"
"187","Extremely Loud & Incredibly Close","Stephen Daldry","Zoe Caldwell",NA,NA,NA,NA,NA,"Non-Nominee"
"188","Extremely Loud & Incredibly Close","Stephen Daldry","Max von Sydow","Nominee","2011","84","ACTOR IN A SUPPORTING ROLE","The Renter","Nominee"
"189","Extremely Loud & Incredibly Close","Stephen Daldry","Dennis Hearn",NA,NA,NA,NA,NA,"Non-Nominee"
"190","Extremely Loud & Incredibly Close","Stephen Daldry","Paul Klementowicz",NA,NA,NA,NA,NA,"Non-Nominee"
"191","Extremely Loud & Incredibly Close","Stephen Daldry","Julian Tepper",NA,NA,NA,NA,NA,"Non-Nominee"
"192","Extremely Loud & Incredibly Close","Stephen Daldry","Caleb Reynolds",NA,NA,NA,NA,NA,"Non-Nominee"
"193","Extremely Loud & Incredibly Close","Stephen Daldry","Stephen McKinley Henderson",NA,NA,NA,NA,NA,"Non-Nominee"
"194","Extremely Loud & Incredibly Close","Stephen Daldry","Lorna Guity Pruce",NA,NA,NA,NA,NA,"Non-Nominee"
"195","Extremely Loud & Incredibly Close","Stephen Daldry","Hazelle Goodman",NA,NA,NA,NA,NA,"Non-Nominee"
"196","Florence Foster Jenkins","Stephen Frears","Meryl Streep",NA,NA,NA,NA,NA,"Non-Nominee"
"197","Florence Foster Jenkins","Stephen Frears","Hugh Grant",NA,NA,NA,NA,NA,"Non-Nominee"
"198","Florence Foster Jenkins","Stephen Frears","Simon Helberg",NA,NA,NA,NA,NA,"Non-Nominee"
"199","Florence Foster Jenkins","Stephen Frears","Rebecca Ferguson",NA,NA,NA,NA,NA,"Non-Nominee"
"200","Florence Foster Jenkins","Stephen Frears","Nina Arianda",NA,NA,NA,NA,NA,"Non-Nominee"
"201","Florence Foster Jenkins","Stephen Frears","Stanley Townsend",NA,NA,NA,NA,NA,"Non-Nominee"
"202","Florence Foster Jenkins","Stephen Frears","Allan Corduner",NA,NA,NA,NA,NA,"Non-Nominee"
"203","Florence Foster Jenkins","Stephen Frears","Christian McKay",NA,NA,NA,NA,NA,"Non-Nominee"
"204","Florence Foster Jenkins","Stephen Frears","David Haig",NA,NA,NA,NA,NA,"Non-Nominee"
"205","Florence Foster Jenkins","Stephen Frears","John Sessions",NA,NA,NA,NA,NA,"Non-Nominee"
"206","Florence Foster Jenkins","Stephen Frears","Brid Brennan",NA,NA,NA,NA,NA,"Non-Nominee"
"207","Florence Foster Jenkins","Stephen Frears","John Kavanagh",NA,NA,NA,NA,NA,"Non-Nominee"
"208","Florence Foster Jenkins","Stephen Frears","Pat Starr",NA,NA,NA,NA,NA,"Non-Nominee"
"209","Florence Foster Jenkins","Stephen Frears","Maggie Steed",NA,NA,NA,NA,NA,"Non-Nominee"
"210","Florence Foster Jenkins","Stephen Frears","Thelma Barlow",NA,NA,NA,NA,NA,"Non-Nominee"
"211","Ford v Ferrari","James Mangold","Matt Damon",NA,NA,NA,NA,NA,"Non-Nominee"
"212","Ford v Ferrari","James Mangold","Christian Bale",NA,NA,NA,NA,NA,"Non-Nominee"
"213","Ford v Ferrari","James Mangold","Jon Bernthal",NA,NA,NA,NA,NA,"Non-Nominee"
"214","Ford v Ferrari","James Mangold","Caitríona Balfe",NA,NA,NA,NA,NA,"Non-Nominee"
"215","Ford v Ferrari","James Mangold","Josh Lucas",NA,NA,NA,NA,NA,"Non-Nominee"
"216","Ford v Ferrari","James Mangold","Noah Jupe",NA,NA,NA,NA,NA,"Non-Nominee"
"217","Ford v Ferrari","James Mangold","Tracy Letts",NA,NA,NA,NA,NA,"Non-Nominee"
"218","Ford v Ferrari","James Mangold","Remo Girone",NA,NA,NA,NA,NA,"Non-Nominee"
"219","Ford v Ferrari","James Mangold","Ray McKinnon",NA,NA,NA,NA,NA,"Non-Nominee"
"220","Ford v Ferrari","James Mangold","JJ Feild",NA,NA,NA,NA,NA,"Non-Nominee"
"221","Ford v Ferrari","James Mangold","Jack McMullen",NA,NA,NA,NA,NA,"Non-Nominee"
"222","Ford v Ferrari","James Mangold","Corrado Invernizzi",NA,NA,NA,NA,NA,"Non-Nominee"
"223","Ford v Ferrari","James Mangold","Joe Williamson",NA,NA,NA,NA,NA,"Non-Nominee"
"224","Ford v Ferrari","James Mangold","Ian Harding",NA,NA,NA,NA,NA,"Non-Nominee"
"225","Ford v Ferrari","James Mangold","Christopher Darga",NA,NA,NA,NA,NA,"Non-Nominee"
"226","Gone Girl","David Fincher","Ben Affleck",NA,NA,NA,NA,NA,"Non-Nominee"
"227","Gone Girl","David Fincher","Rosamund Pike",NA,NA,NA,NA,NA,"Non-Nominee"
"228","Gone Girl","David Fincher","Neil Patrick Harris",NA,NA,NA,NA,NA,"Non-Nominee"
"229","Gone Girl","David Fincher","Tyler Perry",NA,NA,NA,NA,NA,"Non-Nominee"
"230","Gone Girl","David Fincher","Carrie Coon",NA,NA,NA,NA,NA,"Non-Nominee"
"231","Gone Girl","David Fincher","Kim Dickens",NA,NA,NA,NA,NA,"Non-Nominee"
"232","Gone Girl","David Fincher","Patrick Fugit",NA,NA,NA,NA,NA,"Non-Nominee"
"233","Gone Girl","David Fincher","David Clennon",NA,NA,NA,NA,NA,"Non-Nominee"
"234","Gone Girl","David Fincher","Lisa Banes",NA,NA,NA,NA,NA,"Non-Nominee"
"235","Gone Girl","David Fincher","Missi Pyle",NA,NA,NA,NA,NA,"Non-Nominee"
"236","Gone Girl","David Fincher","Emily Ratajkowski",NA,NA,NA,NA,NA,"Non-Nominee"
"237","Gone Girl","David Fincher","Casey Wilson",NA,NA,NA,NA,NA,"Non-Nominee"
"238","Gone Girl","David Fincher","Lola Kirke",NA,NA,NA,NA,NA,"Non-Nominee"
"239","Gone Girl","David Fincher","Boyd Holbrook",NA,NA,NA,NA,NA,"Non-Nominee"
"240","Gone Girl","David Fincher","Sela Ward",NA,NA,NA,NA,NA,"Non-Nominee"
"241","Hillbilly Elegy","Ron Howard","Amy Adams",NA,NA,NA,NA,NA,"Non-Nominee"
"242","Hillbilly Elegy","Ron Howard","Glenn Close","Nominee","2020","93","ACTRESS IN A SUPPORTING ROLE","Mamaw","Nominee"
"243","Hillbilly Elegy","Ron Howard","Gabriel Basso",NA,NA,NA,NA,NA,"Non-Nominee"
"244","Hillbilly Elegy","Ron Howard","Haley Bennett",NA,NA,NA,NA,NA,"Non-Nominee"
"245","Hillbilly Elegy","Ron Howard","Freida Pinto",NA,NA,NA,NA,NA,"Non-Nominee"
"246","Hillbilly Elegy","Ron Howard","Bo Hopkins",NA,NA,NA,NA,NA,"Non-Nominee"
"247","Hillbilly Elegy","Ron Howard","Owen Asztalos",NA,NA,NA,NA,NA,"Non-Nominee"
"248","Hillbilly Elegy","Ron Howard","Jesse C. Boyd",NA,NA,NA,NA,NA,"Non-Nominee"
"249","Hillbilly Elegy","Ron Howard","Stephen Kunken",NA,NA,NA,NA,NA,"Non-Nominee"
"250","Hillbilly Elegy","Ron Howard","Keong Sim",NA,NA,NA,NA,NA,"Non-Nominee"
