Nominee,Once upon a Time...in Hollywood -- Quentin Tarantino
Winner,Parasite -- Bong Joon Ho
NA,BEST PICTURE
Nominee,"Ford v Ferrari -- Peter Chernin, Jenno Topping and James Mangold, Producers"
Nominee,"The Irishman -- Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers"
Nominee,"Jojo Rabbit -- Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers"
Nominee,"Joker -- Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers"
Nominee,"Little Women -- Amy Pascal, Producer"
Nominee,"Marriage Story -- Noah Baumbach and David Heyman, Producers"
Nominee,"1917 -- Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers"
Nominee,"Once upon a Time...in Hollywood -- David Heyman, Shannon McIntosh and Quentin Tarantino, Producers"
Winner,"Parasite -- Kwak Sin Ae and Bong Joon Ho, Producers"
NA,2020 (93rd)
NA,ACTOR IN A LEADING ROLE
Nominee,"Riz Ahmed -- Sound of Metal {""Ruben""}"
Nominee,"Chadwick Boseman -- Ma Rainey's Black Bottom {""Levee""}"
Winner,"Anthony Hopkins -- The Father {""Anthony""}"
Nominee,"Gary Oldman -- Mank {""Herman Mankiewicz""}"
Nominee,"Steven Yeun -- Minari {""Jacob""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Sacha Baron Cohen -- The Trial of the Chicago 7 {""Abbie Hoffman""}"
Winner,"Daniel Kaluuya -- Judas and the Black Messiah {""Fred Hampton""}"
Nominee,"Leslie Odom, Jr. -- One Night in Miami... {""Sam Cooke""}"
Nominee,"Paul Raci -- Sound of Metal {""Joe""}"
Nominee,"Lakeith Stanfield -- Judas and the Black Messiah {""Bill O’Neal""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Viola Davis -- Ma Rainey's Black Bottom {""Ma Rainey""}"
Nominee,"Andra Day -- The United States vs. Billie Holiday {""Billie Holiday""}"
Nominee,"Vanessa Kirby -- Pieces of a Woman {""Martha""}"
Winner,"Frances McDormand -- Nomadland {""Fern""}"
Nominee,"Carey Mulligan -- Promising Young Woman {""Cassandra""}"
NA,ACTRESS IN A SUPPORTING ROLE
